STT,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,City
539538,2000001,7,7.25,,,6.67,5.75,5.2,6.25,,6.6,,2
539539,2000002,7.25,8.5,,,7.58,7,7,7.75,,8.2,,2
539540,2000003,7.75,8.25,,,6.92,4.75,6,6.75,,6.8,,2
539541,2000004,,,6.25,6.25,,,5.6,6.25,7,7.8,5.5,2
539542,2000005,,,6.25,6.17,,,8.2,6.5,5.5,6.4,6.75,2
539543,2000006,7.5,8.5,,,7.58,6.75,8,7.5,,6.8,,2
539544,2000007,,,7.25,6.67,,,6.4,8.25,5.25,8.4,7.5,2
539545,2000008,,,4.5,4.33,,,4.4,7,3.5,6.8,5,2
539546,2000009,8.25,8.75,,,7.92,6.75,8.4,8,,7.2,,2
539547,2000010,,,7,6.33,,,6.4,7.75,4,8.4,8,2
539548,2000011,6.5,8.5,,,7.08,6.25,5.2,7.75,,6.4,,2
539549,2000012,8,9.25,,,8.17,7.25,8.2,5.25,,8,,2
539550,2000013,,,7.75,7.08,,,5.8,5.75,5.75,8.4,7.75,2
539551,2000014,7.25,7.75,,,7.67,8,9.2,7.5,,8.4,,2
539552,2000015,,,6.75,6.08,,,8.6,6.75,5.25,8.2,6.25,2
539553,2000016,,,6.75,6.17,,,7.2,6.75,5.5,8.6,6.25,2
539554,2000017,,,7.25,7.42,,,8.8,6.75,7.75,8.6,7.25,2
539555,2000018,6.5,7.5,,,5.92,3.75,8,6.5,,8,,2
539556,2000019,,,8.25,7.33,,,7.2,4.5,7.75,8.2,6,2
539557,2000020,,,5.25,5.75,,,7.4,6.25,5.25,8.4,6.75,2
539558,2000021,,,8.5,6.67,,,7,6.25,5.5,7.4,6,2
539559,2000022,,,4,5.92,,,6.4,6,5.75,8.8,8,2
539560,2000023,,,6,5.58,,,4.8,6.5,5,7.4,5.75,2
539561,2000024,,,3.25,5.75,,,5.4,8,6.25,7.2,7.75,2
539562,2000025,7.25,7.5,,,6.83,5.75,8.4,8,,8.4,,2
539563,2000026,7,7.5,,,6.92,6.25,6.6,7,,8.2,,2
539564,2000027,,,8.5,6.58,,,6.4,7,5,7.6,6.25,2
539565,2000028,,,7.25,6,,,6.6,7,5.25,7.6,5.5,2
539566,2000029,,,8.25,7.67,,,7,5.25,7.5,7.8,7.25,2
539567,2000030,,,8.5,7.92,,,,7.5,7.5,8.2,7.75,2
539568,2000031,5,8.25,,,6.17,5.25,6.8,7.5,,7.8,,2
539569,2000032,7.75,8,,,6.92,5,7.6,8,,7.8,,2
539570,2000033,7,8,,,7.33,7,7,7.25,,8.4,,2
539571,2000034,,,7.25,5.92,,,,6.5,3,7.8,7.5,2
539572,2000035,7,7.25,,,6.08,4,5,5.5,,6.8,,2
539573,2000036,,,7.25,7.17,,,7.4,6,6.75,7.6,7.5,2
539574,2000037,5.5,7.75,,,6.08,5,5,5.5,,7.2,,2
539575,2000038,7.5,7.5,,,7.42,7.25,6.8,7,,7.8,,2
539576,2000039,6.5,7.75,,,6.08,4,5.2,7,,7.2,,2
539577,2000040,,,7.25,6.75,,,5.2,6.75,4.75,8.2,8.25,2
539578,2000041,,,7,6.67,,,7.4,6.75,5.75,6.8,7.25,2
539579,2000042,,,4.75,5,,,8.2,7,3,8.2,7.25,2
539580,2000043,,,7,5.83,,,6.8,7.25,3.25,7.4,7.25,2
539581,2000044,,,6.75,5.75,,,5.4,6.5,5.75,8.2,4.75,2
539582,2000045,,,4.5,5.25,,,8,6.25,4.75,7.6,6.5,2
539583,2000046,,,6,5.67,,,4.2,6.75,4.5,8.2,6.5,2
539584,2000047,,,6.25,6.33,,,6,6.75,5.25,8.6,7.5,2
539585,2000048,4.75,6.75,,,5.33,4.5,6.2,7,,6.6,,2
539586,2000049,6.75,9.25,,,7.42,6.25,6.2,8.25,,7.8,,2
539587,2000050,,,6,5.67,,,7.4,7.75,2.75,8,8.25,2
539588,2000051,6,7,,,5.58,3.75,7.4,7.25,,7.6,,2
539589,2000052,,,6.5,6.75,,,8.8,7.25,5.75,8.6,8,2
539590,2000053,7.25,9.5,,,7.83,6.75,8.4,6.75,,6.8,,2
539591,2000054,,,6,6.75,,,7,6.5,6.25,9.2,8,2
539592,2000055,,,7.5,6.33,,,8.6,7.25,4.75,8.8,6.75,2
539593,2000056,,,6.25,6.33,,,6.6,7.25,4.75,8.6,8,2
539594,2000057,6,8,,,6.83,6.5,6.2,6.5,,7,,2
539595,2000058,,,7.5,6.5,,,6,6.75,3.75,8.2,8.25,2
539596,2000059,7,9,,,7.92,7.75,8.2,7.5,,8.4,,2
539597,2000060,,,6.5,6,,,7.4,4.25,6.5,6.6,5,2
539598,2000061,5.5,6.25,,,4.83,2.75,4,6.75,,5.2,,2
539599,2000062,,,6.75,6.25,,,4.6,7.25,6,6.6,6,2
539600,2000063,6.5,7.75,,,6.5,5.25,7,7,,6.2,,2
539601,2000064,,,6,6.42,,,7.8,7.75,5.75,8.2,7.5,2
539602,2000065,,,6.5,5.58,,,8.2,8.25,5,7.8,5.25,2
539603,2000066,,,7.5,7.08,,,6.2,7,6,7,7.75,2
539604,2000067,,,6.5,7.17,,,7.2,5.5,7.25,7,7.75,2
539605,2000068,,,6,5.67,,,9.6,6.5,3.75,8.4,7.25,2
539606,2000069,,,7.5,6.25,,,5.8,8,5.75,7.6,5.5,2
539607,2000070,6.5,8.5,,,6.5,4.5,5.6,6,,7,,2
539608,2000071,,,5,5.08,,,7.4,6.25,3.75,6.2,6.5,2
539609,2000072,,,8,7.17,,,7.8,7.75,5.5,8.4,8,2
539610,2000073,,,6.75,7.33,,,6.4,8.5,7.75,9,7.5,2
539611,2000074,,,8.25,6.92,,,7.2,8,6.75,8.6,5.75,2
539612,2000075,,,7.75,6.83,,,6.4,8,5.5,7.6,7.25,2
539613,2000076,7.5,9,,,7.92,7.25,8.2,8.5,,8.2,,2
539614,2000077,,,6.75,6.33,,,5.8,7.5,5.5,7.2,6.75,2
539615,2000078,8.25,8.5,,,7.5,5.75,7,7,,7.8,,2
539616,2000079,6.5,8.75,,,7.17,6.25,7,7.5,,7.4,,2
539617,2000080,6,7.5,,,5.75,3.75,5.8,5.5,,5.2,,2
539618,2000081,,,5.5,6.5,,,8.4,5.5,7.25,8.6,6.75,2
539619,2000082,,,6,5.75,,,7.2,6.5,4.25,8.4,7,2
539620,2000083,,,5.75,5.33,,,7.2,7,5.5,7.6,4.75,2
539621,2000084,,,5.75,6.58,,,9.2,5.5,6.5,7.6,7.5,2
539622,2000085,7.25,9,,,7.17,5.25,7.2,6.5,,7.8,,2
539623,2000086,,,5,5.08,,,6,7,6.25,6.2,4,2
539624,2000087,8,9,,,7.75,6.25,7.8,7,,6.6,,2
539625,2000088,,,5.25,5.92,,,5.8,6.5,5.25,8,7.25,2
539626,2000089,,,8.5,7.92,,,6.8,6.25,6.25,9,9,2
539627,2000090,,,6.75,5.75,,,7.2,6.5,5.5,7.6,5,2
539628,2000091,4.25,4.75,,,3.83,2.5,5.8,5.75,,4.8,,2
539629,2000092,,,3.25,3.92,,,7,5,2.5,6.8,6,2
539630,2000093,,,7,6.67,,,9.2,5.25,5.5,9.2,7.5,2
