STT,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,City
272862,01000001,,,,,,8.0,,6.0,,7.0,,01
272863,01000002,,,8.75,7.75,,,9.4,6.0,7.25,9.0,7.25,01
272864,01000003,,,8.75,7.25,,,6.0,6.5,4.75,8.8,8.25,01
272865,01000004,,,6.0,,,,8.2,,,7.0,,01
272866,01000005,7.25,9.25,,,7.42,5.75,9.2,7.5,,9.0,,01
272867,01000006,,,,,,,9.4,7.75,,7.8,,01
272868,01000007,5.0,8.25,,,5.33,2.75,4.4,7.0,,7.2,,01
272869,01000008,6.25,,,,,3.25,,3.0,,3.0,,01
272870,01000009,7.25,7.0,,,6.33,4.75,4.4,6.75,,7.4,,01
272871,01000010,,,4.75,5.08,,,4.6,6.5,5.5,8.0,5.00,01
272872,01000011,7.5,9.0,,,7.58,6.25,8.8,9.0,,8.4,,01
272873,01000012,4.25,,,,,3.5,,4.0,,1.4,,01
272874,01000013,,,5.75,6.17,,,7.6,6.75,5.0,8.4,7.75,01
272875,01000014,6.5,9.0,,,7.08,5.75,3.2,7.0,,2.6,,01
272876,01000015,,,4.0,5.0,,,7.2,6.75,7.75,8.0,3.25,01
272877,01000016,8.25,9.0,,,8.75,9.0,8.0,8.5,,9.0,,01
272878,01000017,2.5,7.25,,,5.25,6.0,4.4,5.75,,6.6,,01
272879,01000018,,,,,,4.75,,6.0,,4.0,,01
272880,01000019,,,7.75,6.83,,,6.4,6.0,4.75,7.8,8.00,01
272881,01000020,,,4.75,5.25,,,6.4,8.75,4.5,8.6,6.50,01
272882,01000021,,,6.75,5.42,,,7.0,7.0,4.0,8.8,5.50,01
272883,01000022,8.25,8.5,,,7.92,7.0,9.2,7.75,,8.8,,01
272884,01000023,5.75,8.0,,,5.42,2.5,5.0,7.0,,6.8,,01
272885,01000024,5.75,7.0,,,5.5,3.75,6.0,8.5,,7.8,,01
272886,01000025,8.0,7.75,,,6.83,4.75,6.0,6.5,,7.4,,01
272887,01000026,6.0,8.0,,,6.5,5.5,,7.5,,7.8,,01
272888,01000027,,,8.0,7.33,,,6.6,6.5,6.25,8.4,7.75,01
272889,01000028,,,4.5,5.67,,,6.4,8.0,3.75,8.8,8.75,01
272890,01000029,,,3.75,4.75,,,6.4,5.5,4.0,7.8,6.50,01
272891,01000030,6.5,8.75,,,6.33,3.75,4.0,6.25,,6.0,,01
272892,01000031,,,7.25,6.25,,,4.2,7.5,5.5,7.8,6.00,01
272893,01000032,,,,,,6.0,,5.5,,8.0,,01
272894,01000033,,,8.75,8.17,,,7.8,7.25,7.75,8.8,8.00,01
272895,01000034,6.5,8.25,,,6.67,5.25,7.6,8.5,,7.2,,01
272896,01000035,,,8.5,7.33,,,7.6,6.25,8.5,8.8,5.00,01
272897,01000036,8.25,9.5,,,8.42,7.5,9.0,8.5,,9.2,,01
272898,01000037,,,5.75,6.83,,,9.0,6.5,7.0,9.2,7.75,01
272899,01000038,,,8.5,7.42,,,6.6,6.75,5.5,9.2,8.25,01
272900,01000039,7.0,7.5,,,6.83,6.0,5.0,6.0,,7.8,,01
272901,01000040,,,,,,5.5,,5.0,,5.6,,01
272902,01000041,7.5,7.5,,,6.75,5.25,7.6,8.0,,8.0,,01
272903,01000042,6.75,,,,,4.0,,6.75,,4.2,,01
272904,01000043,,,7.0,4.33,,,7.2,4.5,3.0,8.8,3.00,01
272905,01000044,7.75,8.0,,,7.5,6.75,8.6,8.75,,8.4,,01
272906,01000045,5.75,,,,,4.5,,3.75,,3.4,,01
272907,01000046,4.75,,,,,2.5,,3.5,,3.2,,01
272908,01000047,6.0,7.0,,,6.08,5.25,2.4,7.25,,2.2,,01
272909,01000048,7.75,8.25,,,7.58,6.75,7.6,6.75,,8.4,,01
272910,01000049,7.25,8.5,,,7.0,5.25,7.4,7.75,,7.2,,01
272911,01000050,5.5,6.75,,,6.08,6.0,7.8,9.0,,8.8,,01
272912,01000051,8.0,8.5,,,7.25,5.25,8.8,8.0,,8.2,,01
272913,01000052,5.75,7.0,,,5.75,4.5,,6.5,,6.4,,01
272914,01000053,5.5,9.75,,,6.83,5.25,2.8,8.5,,4.6,,01
272915,01000054,7.75,9.25,,,8.58,8.75,9.0,8.75,,9.0,,01
272916,01000055,8.25,7.5,,,7.0,5.25,6.6,8.75,,7.0,,01
272917,01000056,8.5,8.0,,,8.5,9.0,8.4,8.75,,8.6,,01
272918,01000057,,,4.0,5.83,,,7.0,7.5,5.0,8.6,8.50,01
272919,01000058,,,,,,5.5,,6.0,,7.0,,01
272920,01000059,7.25,8.5,,,7.08,5.5,7.8,6.0,,8.2,,01
272921,01000060,7.75,8.5,,,6.83,4.25,7.0,7.5,,8.8,,01
272922,01000061,,,3.5,3.58,,,4.0,6.5,2.0,6.6,5.25,01
272923,01000062,7.25,8.5,,,7.42,6.5,8.8,9.0,,8.6,,01
272924,01000063,8.5,9.0,,,8.75,8.75,7.2,7.0,,5.4,,01
272925,01000064,6.5,7.75,,,6.17,4.25,8.0,7.25,,7.0,,01
272926,01000065,,,6.5,5.5,,,7.0,6.75,5.75,7.0,4.25,01
272927,01000066,6.75,8.5,,,6.58,4.5,6.2,6.0,,7.8,,01
272928,01000067,,,4.75,5.25,,,7.2,6.0,5.25,8.0,5.75,01
272929,01000068,9.5,9.25,,,9.33,9.25,7.2,7.5,,8.0,,01
272930,01000069,8.0,9.25,,,8.08,7.0,8.8,7.75,,8.2,,01
272931,01000070,7.5,6.5,,,6.25,4.75,6.0,7.0,,7.4,,01
272932,01000071,,,5.0,5.33,,,8.6,7.0,3.75,7.4,7.25,01
272933,01000072,5.25,7.0,,,5.17,3.25,5.4,5.5,,3.4,,01
