Number,Age,Age,Gender,MaritalStatus,EducationLevel,EducationLevel,EducationBackground,JobRole,EnvironmentSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,RelationshipSatisfaction,WorkLifeBalance,WorkLifeBalance,TotalWorkExperienceInYears,TotalWorkExperienceInYears,ExperienceYearsInCurrentRole,ExperienceYearsInCurrentRole,PerformanceRating,PerformanceResult
E1001000,32,Main labor group,Male,Single,3,Bachelor,Marketing,Sales Executive,4,Very High,4,Very High,2,Good,10,Silver range,7,Silver range,3,Meet Expectation
E1001006,47,Middle-aged labor group,Male,Single,4,Master,Marketing,Sales Executive,4,Very High,4,Very High,3,Better,20,Gold range,7,Silver range,3,Meet Expectation
E1001007,40,Main labor group,Male,Married,4,Master,Life Sciences,Sales Executive,4,Very High,3,High,3,Better,20,Gold range,13,Gold range,4,Exceed Expectation
E1001009,41,Middle-aged labor group,Male,Divorced,4,Master,Human Resources,Manager,2,Medium,2,Medium,2,Good,23,Diamond range,6,Silver range,3,Meet Expectation
E1001010,60,Old labor group,Male,Single,4,Master,Marketing,Sales Executive,1,Low,4,Very High,3,Better,10,Silver range,2,Copper range,3,Meet Expectation
E1001011,27,Main labor group,Male,Divorced,2,College,Life Sciences,Developer,4,Very High,3,High,2,Good,9,Silver range,7,Silver range,4,Exceed Expectation
E1001016,50,Middle-aged labor group,Male,Married,4,Master,Marketing,Sales Representative,4,Very High,4,Very High,3,Better,4,Copper range,2,Copper range,3,Meet Expectation
E1001019,28,Main labor group,Female,Single,2,College,Life Sciences,Developer,1,Low,4,Very High,3,Better,10,Silver range,7,Silver range,3,Meet Expectation
E1001020,36,Main labor group,Female,Married,3,Bachelor,Life Sciences,Developer,1,Low,1,Low,3,Better,10,Silver range,7,Silver range,3,Meet Expectation
E1001021,38,Main labor group,Female,Single,3,Bachelor,Life Sciences,Developer,3,High,4,Very High,4,Best,10,Silver range,0,no exps,3,Meet Expectation
E1001022,44,Middle-aged labor group,Male,Single,3,Bachelor,Medical,Developer,1,Low,3,High,3,Better,9,Silver range,2,Copper range,3,Meet Expectation
E1001024,47,Middle-aged labor group,Female,Divorced,3,Bachelor,Medical,Sales Executive,4,Very High,4,Very High,2,Good,28,Diamond range,2,Copper range,3,Meet Expectation
E1001025,30,Main labor group,Male,Divorced,5,Doctor,Marketing,Sales Executive,3,High,4,Very High,2,Good,10,Silver range,7,Silver range,4,Exceed Expectation
E1001027,29,Main labor group,Male,Single,3,Bachelor,Life Sciences,Sales Representative,3,High,3,High,3,Better,1,Copper range,0,no exps,3,Meet Expectation
E1001030,42,Middle-aged labor group,Male,Divorced,3,Bachelor,Medical,Developer,3,High,4,Very High,3,Better,7,Silver range,2,Copper range,3,Meet Expectation
E1001035,34,Main labor group,Female,Single,2,College,Medical,Developer,2,Medium,4,Very High,3,Better,10,Silver range,1,Copper range,3,Meet Expectation
E1001038,39,Main labor group,Female,Married,3,Bachelor,Human Resources,Human Resources,3,High,3,High,1,Bad,12,Gold range,3,Copper range,3,Meet Expectation
E1001040,56,Old labor group,Male,Married,3,Bachelor,Medical,Developer,3,High,3,High,2,Good,30,Diamond range,7,Silver range,3,Meet Expectation
